Location,Subcategory,Hierarchy_Level,Outlet,Outlet_Hierarchy,Year,Volume_Kl
1,Beer,1,Food/drink/tobacco specialists,3,2007,261384.55060000002
1,Beer,1,Food/drink/tobacco specialists,3,2008,251302.58239999998
1,Beer,1,Food/drink/tobacco specialists,3,2009,242108.85950000002
1,Beer,1,Food/drink/tobacco specialists,3,2010,242212.8432
1,Beer,1,Food/drink/tobacco specialists,3,2011,243933.622
1,Beer,1,Food/drink/tobacco specialists,3,2012,235070.68779999999
1,Beer,1,Food/drink/tobacco specialists,3,2013,233437.1075
1,Beer,1,Food/drink/tobacco specialists,3,2014,241108.918
1,Beer,1,Food/drink/tobacco specialists,3,2015,251483.0016
1,Beer,1,Food/drink/tobacco specialists,3,2016,254150.76309999998
1,Beer,1,Food/drink/tobacco specialists,3,2017,269328.005
1,Beer,1,Food/drink/tobacco specialists,3,2018,284297.69529999996
1,Beer,1,Food/drink/tobacco specialists,3,2019,299202.0037
1,Beer,1,Food/drink/tobacco specialists,3,2020,312902.332
1,Beer,1,Food/drink/tobacco specialists,3,2021,323009.7024
2,Beer,1,Food/drink/tobacco specialists,3,2007,152732.3946
2,Beer,1,Food/drink/tobacco specialists,3,2008,156007.9203
2,Beer,1,Food/drink/tobacco specialists,3,2009,160321.7792
2,Beer,1,Food/drink/tobacco specialists,3,2010,162381.8046
2,Beer,1,Food/drink/tobacco specialists,3,2011,165119.0297
2,Beer,1,Food/drink/tobacco specialists,3,2012,168736.1082
2,Beer,1,Food/drink/tobacco specialists,3,2013,167491.4394
2,Beer,1,Food/drink/tobacco specialists,3,2014,162840.8856
2,Beer,1,Food/drink/tobacco specialists,3,2015,159317.7076
2,Beer,1,Food/drink/tobacco specialists,3,2016,151108.3599
2,Beer,1,Food/drink/tobacco specialists,3,2017,149430.0042
2,Beer,1,Food/drink/tobacco specialists,3,2018,148240.3794
2,Beer,1,Food/drink/tobacco specialists,3,2019,146288.99039999998
2,Beer,1,Food/drink/tobacco specialists,3,2020,147531.8219
2,Beer,1,Food/drink/tobacco specialists,3,2021,148195.94199999998
3,Beer,1,Food/drink/tobacco specialists,3,2007,51915.70874
3,Beer,1,Food/drink/tobacco specialists,3,2008,49862.95535
3,Beer,1,Food/drink/tobacco specialists,3,2009,52556.360819999994
3,Beer,1,Food/drink/tobacco specialists,3,2010,67303.12344
3,Beer,1,Food/drink/tobacco specialists,3,2011,81668.85596
3,Beer,1,Food/drink/tobacco specialists,3,2012,90833.48745
3,Beer,1,Food/drink/tobacco specialists,3,2013,95176.25705
3,Beer,1,Food/drink/tobacco specialists,3,2014,95452.48795
3,Beer,1,Food/drink/tobacco specialists,3,2015,104144.7991
3,Beer,1,Food/drink/tobacco specialists,3,2016,122580.9768
3,Beer,1,Food/drink/tobacco specialists,3,2017,127260.89790000001
3,Beer,1,Food/drink/tobacco specialists,3,2018,127520.0171
3,Beer,1,Food/drink/tobacco specialists,3,2019,124560.0776
3,Beer,1,Food/drink/tobacco specialists,3,2020,128169.8565
3,Beer,1,Food/drink/tobacco specialists,3,2021,131484.9126
4,Beer,1,Food/drink/tobacco specialists,3,2007,285148.05470000004
4,Beer,1,Food/drink/tobacco specialists,3,2008,301287.936
4,Beer,1,Food/drink/tobacco specialists,3,2009,320433.4693
4,Beer,1,Food/drink/tobacco specialists,3,2010,343213.1323
4,Beer,1,Food/drink/tobacco specialists,3,2011,370879.32190000004
4,Beer,1,Food/drink/tobacco specialists,3,2012,369016.94299999997
4,Beer,1,Food/drink/tobacco specialists,3,2013,374762.2542
4,Beer,1,Food/drink/tobacco specialists,3,2014,370549.7658
4,Beer,1,Food/drink/tobacco specialists,3,2015,364764.65499999997
4,Beer,1,Food/drink/tobacco specialists,3,2016,371205.9189
4,Beer,1,Food/drink/tobacco specialists,3,2017,373012.338
4,Beer,1,Food/drink/tobacco specialists,3,2018,381153.2919
4,Beer,1,Food/drink/tobacco specialists,3,2019,382786.7144
4,Beer,1,Food/drink/tobacco specialists,3,2020,347752.99340000004
4,Beer,1,Food/drink/tobacco specialists,3,2021,349071.0758
5,Beer,1,Food/drink/tobacco specialists,3,2007,446882.70700000005
5,Beer,1,Food/drink/tobacco specialists,3,2008,462866.3923
5,Beer,1,Food/drink/tobacco specialists,3,2009,489591.5203
5,Beer,1,Food/drink/tobacco specialists,3,2010,511019.04020000005
5,Beer,1,Food/drink/tobacco specialists,3,2011,523544.5565
5,Beer,1,Food/drink/tobacco specialists,3,2012,548019.69
5,Beer,1,Food/drink/tobacco specialists,3,2013,562701.155
5,Beer,1,Food/drink/tobacco specialists,3,2014,550536.9141
5,Beer,1,Food/drink/tobacco specialists,3,2015,564607.6843
5,Beer,1,Food/drink/tobacco specialists,3,2016,580071.1599
5,Beer,1,Food/drink/tobacco specialists,3,2017,589405.6013999999
5,Beer,1,Food/drink/tobacco specialists,3,2018,602425.6409
5,Beer,1,Food/drink/tobacco specialists,3,2019,618385.8351
5,Beer,1,Food/drink/tobacco specialists,3,2020,633297.6954
5,Beer,1,Food/drink/tobacco specialists,3,2021,646791.2797
6,Beer,1,Food/drink/tobacco specialists,3,2007,590372.6510000001
6,Beer,1,Food/drink/tobacco specialists,3,2008,593987.774
6,Beer,1,Food/drink/tobacco specialists,3,2009,589844.4737
6,Beer,1,Food/drink/tobacco specialists,3,2010,597911.7958
6,Beer,1,Food/drink/tobacco specialists,3,2011,606753.0078
6,Beer,1,Food/drink/tobacco specialists,3,2012,627505.6723
6,Beer,1,Food/drink/tobacco specialists,3,2013,624457.0149999999
6,Beer,1,Food/drink/tobacco specialists,3,2014,622184.2437999999
6,Beer,1,Food/drink/tobacco specialists,3,2015,596636.9128
6,Beer,1,Food/drink/tobacco specialists,3,2016,573911.9655
6,Beer,1,Food/drink/tobacco specialists,3,2017,594862.4348
6,Beer,1,Food/drink/tobacco specialists,3,2018,589316.2836000001
6,Beer,1,Food/drink/tobacco specialists,3,2019,596814.6404
6,Beer,1,Food/drink/tobacco specialists,3,2020,594717.6102
6,Beer,1,Food/drink/tobacco specialists,3,2021,601487.5688
7,Beer,1,Food/drink/tobacco specialists,3,2007,292016.6254
7,Beer,1,Food/drink/tobacco specialists,3,2008,276016.4216
7,Beer,1,Food/drink/tobacco specialists,3,2009,275355.31799999997
7,Beer,1,Food/drink/tobacco specialists,3,2010,275988.9528
7,Beer,1,Food/drink/tobacco specialists,3,2011,262961.8668
7,Beer,1,Food/drink/tobacco specialists,3,2012,268418.017
7,Beer,1,Food/drink/tobacco specialists,3,2013,268008.2234
7,Beer,1,Food/drink/tobacco specialists,3,2014,259115.98669999998
7,Beer,1,Food/drink/tobacco specialists,3,2015,258296.45030000003
7,Beer,1,Food/drink/tobacco specialists,3,2016,258979.65589999998
7,Beer,1,Food/drink/tobacco specialists,3,2017,253179.27140000003
7,Beer,1,Food/drink/tobacco specialists,3,2018,250728.1391
7,Beer,1,Food/drink/tobacco specialists,3,2019,242831.99850000002
7,Beer,1,Food/drink/tobacco specialists,3,2020,242240.9227
7,Beer,1,Food/drink/tobacco specialists,3,2021,241595.71769999998
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2007,1.490922408
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2008,1.372390266
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2009,1.315863411
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2010,1.26964939
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2011,1.252933261
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2012,1.239903723
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2013,1.243979009
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2014,1.225845521
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2015,1.225371781
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2016,1.202578767
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2017,1.333141344
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2018,1.398380911
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2019,1.473054979
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2020,1.655613159
1,Cider/Perry,1,Food/drink/tobacco specialists,3,2021,1.799331458
2,Cider/Perry,1,Food/drink/tobacco specialists,3,2007,13.96896815
2,Cider/Perry,1,Food/drink/tobacco specialists,3,2008,14.09511555
2,Cider/Perry,1,Food/drink/tobacco specialists,3,2009,14.8670674
2,Cider/Perry,1,Food/drink/tobacco specialists,3,2010,15.75953766
2,Cider/Perry,1,Food/drink/tobacco specialists,3,2011,18.52082419
2,Cider/Perry,1,Food/drink/tobacco specialists,3,2012,22.3242736
