Location,Subcategory_ID,Hierarchy_Level,Global_Brand_Owner,Year,Volume_Kl
8,13,1,Anheuser-Busch InBev NV,2016,35506.37732
8,13,1,Heineken NV,2016,18482.5958
8,13,1,Carlsberg A/S,2016,11121.69868
8,13,1,Dragonyte Brewery,2016,6252.38259
8,13,1,Tsingtao Brewery Co Ltd,2016,7834.494901
8,13,1,Asahi Group Holdings Ltd,2016,2446.943741
8,13,1,Beijing Yanjing Brewery Co Ltd,2016,5373.662882
8,13,1,Kirin Holdings Co Ltd,2016,4770.918623
8,13,1,Diageo Plc,2016,1926.566783
8,13,1,San Miguel Corp,2016,1549.127299
8,13,1,Castel Groupe,2016,1670.209463
8,13,1,Saigon Alcohol Beer & Beverages Corp (Sabeco),2016,1242.829771
8,13,1,Cervejaria PetrÃ³polis SA,2016,1463.857554
8,13,1,Anadolu Group,2016,2365.222039
8,13,1,Suntory Holdings Ltd,2016,1622.630286
8,13,1,Oetker-Gruppe,2016,1239.428524
8,13,1,UB Group,2016,1155.34743
8,13,1,Henan Jinxing Brewery Group,2016,1629.870008
8,13,1,Guangzhou Zhujiang Brewery Co Ltd,2016,1174.469918
8,13,1,Grupo Mahou-San Miguel SA,2016,1036.747807
8,13,1,Boon Rawd Brewery Co Ltd,2016,1185.850135
8,13,1,Thai Beverage PCL,2016,757.9420818
8,13,1,Sapporo Holdings Ltd,2016,771.7816623
8,13,1,CÃ­a CervecerÃ­as Unidas SA,2016,733.1682916
8,13,1,Bitburger Braugruppe GmbH,2016,766.5057202
8,13,1,Hite Jinro Co Ltd,2016,746.5450661
8,13,1,Oettinger Brauerei GmbH,2016,711.0584311
8,13,1,Hanoi Alcohol Beer & Beverages Corp (Habeco),2016,494.9522422
8,13,1,Obolon PAT,2016,1115.775319
8,13,1,Empresas Polar CA,2016,1554.527853
8,13,1,Krombacher Brauerei Bhd Schadeberg GmbH & Co KG,2016,548.4756115
8,13,1,Cia da UniÃ£o de Cervejas de Angola SA,2016,389.3126517
8,13,1,Damm SA,2016,417.4135883
8,13,1,Paulaner Brauerei GmbH & Co KG,2016,334.3949527
8,13,1,Florida Ice & Farm Co SA,2016,356.1170442
8,13,1,Brauerei C & A Veltins GmbH & Co KG,2016,306.566069
8,13,1,Taiwan Tobacco & Liquor Corp,2016,347.3104136
8,13,1,Yuengling Brewery,2016,294.3299795
8,13,1,Warsteiner Brauerei Haus Cramer GmbH & Co KG,2016,379.5017431
8,13,1,Royal Unibrew A/S,2016,208.3778782
8,13,1,Olvi Oyj,2016,279.6438919
8,13,1,CervecerÃ­a Centroamericana SA,2016,144.658509
8,13,1,Brau Holding International AG,2016,283.9689949
8,13,1,"Boston Beer Co Inc, The",2016,285.4195146
8,13,1,Bavaria NV,2016,204.2821003
8,13,1,BGI Ethiopia Plc,2016,110.0000024
8,13,1,Ochakovo MPBK ZAO,2016,252.4954917
8,13,1,Erdinger Privatbrauerei WeissbrÃ¤u Werner Brombach GmbH,2016,198.2200553
8,13,1,Karlsberg Brauerei GmbH & Co KG,2016,217.8092267
8,13,1,Behnoush Iran Co,2016,194.1844036
8,13,1,"Cisneros, Grupo",2016,317.5936067
