Location,Subcategory,Hierarchy_Level,Year,RSP_USD_Mnl,Volume
1,1,3,2016,301.0,27.0
1,1,3,2017,318.0,28.0
1,1,3,2018,458.0,40.0
1,1,3,2019,612.0,51.0
1,1,3,2020,774.0,62.0
1,1,3,2021,846.0,67.0
1,1,3,2022,901.0,71.0
1,1,3,2023,953.0,75.0
1,1,3,2024,1.001,78.0
1,1,3,2025,1.04,82.0
1,1,3,2026,1.073,84.0
2,1,3,2016,2.05,215.0
2,1,3,2017,2.232,228.0
2,1,3,2018,2.41,238.0
2,1,3,2019,2.607,250.0
2,1,3,2020,2.85,265.0
2,1,3,2021,3.106,284.0
2,1,3,2022,3.422,302.0
2,1,3,2023,3.759,321.0
2,1,3,2024,4.118,340.0
2,1,3,2025,4.496,360.0
2,1,3,2026,4.887,380.0
3,1,3,2016,228.0,61.0
3,1,3,2017,244.0,63.0
3,1,3,2018,266.0,68.0
3,1,3,2019,275.0,71.0
3,1,3,2020,297.0,77.0
3,1,3,2021,318.0,81.0
3,1,3,2022,331.0,85.0
3,1,3,2023,343.0,89.0
3,1,3,2024,357.0,94.0
3,1,3,2025,370.0,98.0
3,1,3,2026,384.0,103.0
4,1,3,2016,386.0,46.0
4,1,3,2017,407.0,49.0
4,1,3,2018,436.0,51.0
4,1,3,2019,470.0,54.0
4,1,3,2020,506.0,58.0
4,1,3,2021,540.0,61.0
4,1,3,2022,579.0,64.0
4,1,3,2023,621.0,68.0
4,1,3,2024,666.0,71.0
4,1,3,2025,717.0,75.0
4,1,3,2026,773.0,81.0
5,1,3,2016,180.0,29.0
5,1,3,2017,194.0,31.0
5,1,3,2018,187.0,32.0
5,1,3,2019,200.0,31.0
5,1,3,2020,217.0,32.0
5,1,3,2021,232.0,33.0
5,1,3,2022,250.0,35.0
5,1,3,2023,269.0,37.0
5,1,3,2024,291.0,39.0
5,1,3,2025,314.0,42.0
5,1,3,2026,339.0,44.0
6,1,3,2016,10.776,1.297
6,1,3,2017,12.443,1.5
6,1,3,2018,14.229,1.754
6,1,3,2019,15.642,1.894
6,1,3,2020,16.314,1.982
6,1,3,2021,16.46,2.02
6,1,3,2022,16.787,2.061
6,1,3,2023,17.172,2.106
6,1,3,2024,17.58,2.152
6,1,3,2025,18.021,2.2
6,1,3,2026,18.497,2.25
7,1,3,2016,12.112,2.137
7,1,3,2017,12.456,2.143
7,1,3,2018,12.891,2.197
7,1,3,2019,13.407,2.249
7,1,3,2020,13.843,2.292
7,1,3,2021,14.335,2.338
7,1,3,2022,14.929,2.402
7,1,3,2023,15.481,2.461
7,1,3,2024,15.971,2.511
7,1,3,2025,16.424,2.558
7,1,3,2026,16.868,2.603
1,2,3,2016,519.0,41.0
1,2,3,2017,812.0,68.0
1,2,3,2018,1.429,126.0
1,2,3,2019,2.176,189.0
1,2,3,2020,2.865,247.0
1,2,3,2021,4.016,354.0
1,2,3,2022,5.063,447.0
1,2,3,2023,6.322,560.0
1,2,3,2024,7.759,689.0
1,2,3,2025,9.346,833.0
1,2,3,2026,11.018,987.0
2,2,3,2016,194.0,16.0
2,2,3,2017,211.0,18.0
2,2,3,2018,227.0,19.0
2,2,3,2019,241.0,21.0
2,2,3,2020,257.0,22.0
2,2,3,2021,273.0,24.0
2,2,3,2022,295.0,25.0
2,2,3,2023,317.0,27.0
2,2,3,2024,341.0,29.0
2,2,3,2025,365.0,30.0
2,2,3,2026,389.0,32.0
3,2,3,2016,513.0,152.0
3,2,3,2017,537.0,161.0
3,2,3,2018,554.0,169.0
3,2,3,2019,522.0,164.0
3,2,3,2020,545.0,169.0
3,2,3,2021,574.0,176.0
3,2,3,2022,598.0,184.0
3,2,3,2023,623.0,192.0
3,2,3,2024,650.0,201.0
3,2,3,2025,674.0,209.0
3,2,3,2026,701.0,218.0
4,2,3,2016,135.0,17.0
4,2,3,2017,151.0,18.0
4,2,3,2018,164.0,19.0
4,2,3,2019,178.0,21.0
4,2,3,2020,194.0,22.0
4,2,3,2021,217.0,25.0
4,2,3,2022,244.0,28.0
4,2,3,2023,278.0,32.0
4,2,3,2024,312.0,37.0
4,2,3,2025,355.0,42.0
4,2,3,2026,404.0,48.0
5,2,3,2016,33.0,3.0
5,2,3,2017,37.0,3.0
5,2,3,2018,40.0,3.0
5,2,3,2019,51.0,5.0
5,2,3,2020,58.0,6.0
5,2,3,2021,62.0,7.0
5,2,3,2022,68.0,7.0
5,2,3,2023,74.0,8.0
5,2,3,2024,79.0,8.0
5,2,3,2025,85.0,9.0
5,2,3,2026,92.0,9.0
6,2,3,2016,3.962,585.0
6,2,3,2017,4.573,679.0
6,2,3,2018,4.859,731.0
6,2,3,2019,5.141,766.0
6,2,3,2020,4.872,734.0
6,2,3,2021,4.736,721.0
6,2,3,2022,4.749,723.0
6,2,3,2023,4.833,732.0
6,2,3,2024,4.966,745.0
6,2,3,2025,5.106,760.0
6,2,3,2026,5.251,776.0
7,2,3,2016,7.487,1.409
7,2,3,2017,7.437,1.383
7,2,3,2018,7.443,1.361
7,2,3,2019,7.498,1.337
7,2,3,2020,7.576,1.348
7,2,3,2021,7.625,1.343
7,2,3,2022,7.669,1.337
7,2,3,2023,7.694,1.327
7,2,3,2024,7.69,1.317
7,2,3,2025,7.681,1.306
7,2,3,2026,7.661,1.293
1,3,3,2016,251.0,98.0
1,3,3,2017,296.0,115.0
1,3,3,2018,350.0,128.0
1,3,3,2019,376.0,132.0
1,3,3,2020,381.0,131.0
1,3,3,2021,381.0,130.0
1,3,3,2022,387.0,129.0
1,3,3,2023,399.0,128.0
1,3,3,2024,421.0,128.0
1,3,3,2025,453.0,130.0
1,3,3,2026,502.0,134.0
2,3,3,2016,131.0,21.0
2,3,3,2017,144.0,23.0
2,3,3,2018,192.0,28.0
2,3,3,2019,227.0,32.0
2,3,3,2020,254.0,35.0
2,3,3,2021,278.0,38.0
2,3,3,2022,307.0,42.0
2,3,3,2023,337.0,45.0
2,3,3,2024,368.0,48.0
2,3,3,2025,400.0,51.0
2,3,3,2026,432.0,54.0
3,3,3,2016,2.015,880.0
3,3,3,2017,2.032,875.0
3,3,3,2018,2.13,897.0
3,3,3,2019,2.314,952.0
3,3,3,2020,2.707,1.06
3,3,3,2021,2.882,1.098
3,3,3,2022,3.033,1.143
3,3,3,2023,3.11,1.176
3,3,3,2024,3.17,1.204
3,3,3,2025,3.229,1.233
3,3,3,2026,3.294,1.265
4,3,3,2016,178.0,59.0
4,3,3,2017,197.0,62.0
4,3,3,2018,219.0,69.0
