,Location,Subcategory,Hierarchy_Level,Year,RSP_USD_Mnl,Volume
0,1,1,3,2016,301.0,27.0
1,1,1,3,2017,318.0,28.0
2,1,1,3,2018,458.0,40.0
3,1,1,3,2019,612.0,51.0
4,1,1,3,2020,774.0,62.0
5,1,1,3,2021,846.0,67.0
6,1,1,3,2022,901.0,71.0
7,1,1,3,2023,953.0,75.0
8,1,1,3,2024,1000.9999999999999,78.0
9,1,1,3,2025,1040.0,82.0
10,1,1,3,2026,1073.0,84.0
11,2,1,3,2016,2050.0,215.0
12,2,1,3,2017,2232.0,228.0
13,2,1,3,2018,2410.0,238.0
14,2,1,3,2019,2607.0,250.0
15,2,1,3,2020,2850.0,265.0
16,2,1,3,2021,3106.0,284.0
17,2,1,3,2022,3422.0,302.0
18,2,1,3,2023,3759.0,321.0
19,2,1,3,2024,4118.0,340.0
20,2,1,3,2025,4496.0,360.0
21,2,1,3,2026,4887.0,380.0
22,3,1,3,2016,228.0,61.0
23,3,1,3,2017,244.0,63.0
24,3,1,3,2018,266.0,68.0
25,3,1,3,2019,275.0,71.0
26,3,1,3,2020,297.0,77.0
27,3,1,3,2021,318.0,81.0
28,3,1,3,2022,331.0,85.0
29,3,1,3,2023,343.0,89.0
30,3,1,3,2024,357.0,94.0
31,3,1,3,2025,370.0,98.0
32,3,1,3,2026,384.0,103.0
33,4,1,3,2016,386.0,46.0
34,4,1,3,2017,407.0,49.0
35,4,1,3,2018,436.0,51.0
36,4,1,3,2019,470.0,54.0
37,4,1,3,2020,506.0,58.0
38,4,1,3,2021,540.0,61.0
39,4,1,3,2022,579.0,64.0
40,4,1,3,2023,621.0,68.0
41,4,1,3,2024,666.0,71.0
42,4,1,3,2025,717.0,75.0
43,4,1,3,2026,773.0,81.0
44,5,1,3,2016,180.0,29.0
45,5,1,3,2017,194.0,31.0
46,5,1,3,2018,187.0,32.0
47,5,1,3,2019,200.0,31.0
48,5,1,3,2020,217.0,32.0
49,5,1,3,2021,232.0,33.0
50,5,1,3,2022,250.0,35.0
51,5,1,3,2023,269.0,37.0
52,5,1,3,2024,291.0,39.0
53,5,1,3,2025,314.0,42.0
54,5,1,3,2026,339.0,44.0
55,6,1,3,2016,10.776,1.297
56,6,1,3,2017,12.443,1.5
57,6,1,3,2018,14.229,1.754
58,6,1,3,2019,15.642,1.894
59,6,1,3,2020,16.314,1.982
60,6,1,3,2021,16.46,02.02
61,6,1,3,2022,16.787,2.061
62,6,1,3,2023,17.172,2.106
63,6,1,3,2024,17.58,2.152
64,6,1,3,2025,18.021,2.2
65,6,1,3,2026,18.497,2.25
66,7,1,3,2016,12.112,2.137
67,7,1,3,2017,12.456,2.143
68,7,1,3,2018,12.891,2.197
69,7,1,3,2019,13.407,2.249
70,7,1,3,2020,13.843,2.292
71,7,1,3,2021,14.335,2.338
72,7,1,3,2022,14.929,2.402
73,7,1,3,2023,15.481,2.461
74,7,1,3,2024,15.971,2.511
75,7,1,3,2025,16.424,2.558
76,7,1,3,2026,16.868,2.603
77,1,2,3,2016,519.0,41.0
78,1,2,3,2017,812.0,68.0
79,1,2,3,2018,1429.0,126.0
80,1,2,3,2019,2176.0,189.0
81,1,2,3,2020,2865.0,247.0
82,1,2,3,2021,4016.0,354.0
